Date,IncidentsUkraine
1990-01-01,298
1991-01-01,293
1992-01-01,289
1993-01-01,286
1994-01-01,285
1995-01-01,284
1996-01-01,287
1997-01-01,292
1998-01-01,299
1999-01-01,305
2000-01-01,308
2001-01-01,308
2002-01-01,307
2003-01-01,307
2004-01-01,306
2005-01-01,305
2006-01-01,303
2007-01-01,301
2008-01-01,298
2009-01-01,296
2010-01-01,294
2011-01-01,293
2012-01-01,291
2013-01-01,290
2014-01-01,288
2015-01-01,288
2016-01-01,303
2017-01-01,318
2018-01-01,318
2019-01-01,315